Fecha,medio,Valor
27/02/2023,EMT,1249990
27/02/2023,Conc. por carretera,785171
27/02/2023,Renfe Cercanías,551122
28/02/2023,Metro de Madrid,2226948
28/02/2023,EMT,1502203
28/02/2023,Conc. por carretera,956431
28/02/2023,Renfe Cercanías,610048
01/03/2023,Metro de Madrid,2262138
01/03/2023,EMT,1516801
01/03/2023,Conc. por carretera,965548
01/03/2023,Renfe Cercanías,617181
02/03/2023,Metro de Madrid,2297067
02/03/2023,EMT,1521912
02/03/2023,Conc. por carretera,974659
02/03/2023,Renfe Cercanías,616529
03/03/2023,Metro de Madrid,2322129
03/03/2023,EMT,1535039
03/03/2023,Conc. por carretera,990556
03/03/2023,Renfe Cercanías,611551
04/03/2023,Metro de Madrid,1586337
04/03/2023,EMT,853383
04/03/2023,Conc. por carretera,477406
04/03/2023,Renfe Cercanías,373393
05/03/2023,Metro de Madrid,1098456
05/03/2023,EMT,554196
05/03/2023,Conc. por carretera,295376
05/03/2023,Renfe Cercanías,269099
06/03/2023,Metro de Madrid,2125026
06/03/2023,EMT,1484569
06/03/2023,Conc. por carretera,946866
06/03/2023,Renfe Cercanías,593966
07/03/2023,Metro de Madrid,2224215
07/03/2023,EMT,1551815
07/03/2023,Conc. por carretera,973611
07/03/2023,Renfe Cercanías,616885
08/03/2023,Metro de Madrid,2293231
08/03/2023,EMT,1507144
08/03/2023,Conc. por carretera,958205
08/03/2023,Renfe Cercanías,635664
09/03/2023,Metro de Madrid,2239495
09/03/2023,EMT,1525939
09/03/2023,Conc. por carretera,965439
09/03/2023,Renfe Cercanías,607351
10/03/2023,Metro de Madrid,2322986
10/03/2023,EMT,1557024
10/03/2023,Conc. por carretera,998808
10/03/2023,Renfe Cercanías,621968
11/03/2023,Metro de Madrid,1581988
11/03/2023,EMT,877891
11/03/2023,Conc. por carretera,486407
11/03/2023,Renfe Cercanías,383417
12/03/2023,Metro de Madrid,1190784
12/03/2023,EMT,641897
12/03/2023,Conc. por carretera,333062
12/03/2023,Renfe Cercanías,304106
13/03/2023,Metro de Madrid,2134969
13/03/2023,EMT,1509524
13/03/2023,Conc. por carretera,953715
13/03/2023,Renfe Cercanías,601295
14/03/2023,Metro de Madrid,2238356
14/03/2023,EMT,1568533
14/03/2023,Conc. por carretera,985643
14/03/2023,Renfe Cercanías,614236
15/03/2023,Metro de Madrid,2311812
